id,nombre,direccion,tarjeta_credito
1,Juan Perez,Calle Falsa 123,1234-5678-9012-3456
2,Ana Morales,Av. Siempre Viva 987,2345-6789-0123-4567
3,Carlos Rodriguez,Paseo de la Reforma 111,3456-7890-1234-5678
4,María Fernández,Camino Real 222,4567-8901-2345-6789
5,Diego Sánchez,Roma Norte 333,5678-9012-3456-7890
6,Patricia Gómez,Polanco 444,6789-0123-4567-8901
7,Francisco Martínez,Del Valle 555,7890-1234-5678-9012
8,Isabel Torres,Insurgentes 666,8901-2345-6789-0123
9,Manuel Herrera,San Angel 777,9012-3456-7890-1234
10,Laura García,Lomas de Chapultepec 888,0123-4567-8901-2345
